Label
Ra
Za
Sa
Sya
Sha
Dho
Tha
Ea
Gh
A
Fa
Qa
Ka
La
Ma
Na
Hha
Wa
Ya
Ba
Ta
Tsa
ja
HA
Kho
Da
Dza
