Label
A
Ah
Ain
Alif
Ba
Bi
Bu
Da
Dal
Dhad
Dhi
Dho
Dhu
Di
Du
Dza
Dzal
Dzi
Dzu
Ei
Eu
Fa
Fi
Fu
Gh
Ghain
Ghi
Ghu
Ha
Hamzah
HhU
Hha
Hhi
Hi
Hu
Ji
Jim
Ju
Ka
Kaf
Khi
Kho
Khu
Ki
Ku
La
Lam
Li
Lu
Ma
Mi
Mim
Mu
Na
Ni
Nu
Nun
Qa
Qaf
Qi
Qu
Ra
Ri
Ru
Sa
Sha
Shad
Shi
Shu
Si
Sin
Su
Sya
Syi
Syin
Syu
Ta
Tha
Thi
Thu
Ti
Tsa
Tsi
Tsu
Tu
U
Wa
Waw
Wi
Wu
Ya
Yi
Yu
Za
Zha
Zhi
Zhu
Zi
Zu
i
ja
