Label
Ri
Zi
Si
Syi
Shi
Dhi
Thi
Zhi
Ei
Ghi
i
Fi
Qi
Ki
Li
Mi
Ni
Wi
Hhi
Yi
Bi
Ti
Tsi
Ji
Hi
Khi
Di
Dzi
