Label
Ra
Za
Sin
Syin
Shad
Dhad
Tha
Zha
Ain
Ghain
Alif
Fa
Qaf
Kaf
Lam
Mim
Nun
Waw
Hha
Hamzah
Ya
Ba
Ta
Tsa
Jim
Ha
Kho
Dal
Dzal
